      0.0000000000       0.0000000000       1.0000000000
      0.1111111111       0.6427876097       0.7660444431
      0.2222222222       0.9848077530       0.1736481777
      0.3333333333       0.8660254038      -0.5000000000
      0.4444444444       0.3420201433      -0.9396926208
      0.5555555556      -0.3420201433      -0.9396926208
      0.6666666667      -0.8660254038      -0.5000000000
      0.7777777778      -0.9848077530       0.1736481777
      0.8888888889      -0.6427876097       0.7660444431
      1.0000000000      -0.0000000000       1.0000000000
